LATITUDE,LONGITUDE,ELEVATION,TMAX
42.3606,-71.0097,3.7,38.5
45.6,-111.96,2529.8,32.7
37.71,-107.51,3535.7,30.4
34.5822,-119.9817,242.3,66
40.3705,-95.7469,283.5,33.5
38.8246,-106.1276,2421.9,37.5
44.37985,-108.03495,1170.4,36.5
28.4575,-97.7061,77.7,63.8
33.5417,-117.5917,213.4,66
38.3794,-81.59,277.4,43.1
42.9361,-73.43257,152.1,33.2
39.15141,-84.67699,260,37.4
34.5328,-77.7219,6.1,56.7
32.1633,-95.83,136.6,55.8
33.1244,-94.1661,96,55.2
34.0588,-85.2338,239.3,51.8
41.9111,-119.9389,1778.5,39
36.47967,-82.39898,456.3,46.9
33.6301,-84.4418,307.8,54.6
40.2575,-94.0269,289.3,32.7
43.7186,-87.7088,185,25.3
34.4272,-100.2831,594.7,55.9
38.0329,-78.5226,264,44.6
39.3794,-105.3394,2420.1,42.4
40.8892,-123.1422,1432.6,46.2
44.07,-70.7468,154.8,26.2
43.4838,-83.3919,210.3,27.2
44.83,-118.19,1783.1,37.1
37.2978,-81.20366,870.5,37.8
41.02999,-74.42484,231.6,35.5
37.3417,-83.4706,237.7,43.9
41.78038,-88.30925,201.2,28.9
37.3261,-78.8274,259.1,44.9
40.2692,-110.5622,2246.1,33.3
41.8833,-91.7166,264.6,24.8
33.77917,-84.52139,256,54.3
39.76,-107.36,3316.2,24.2
42.2973,-91.0199,252.4,28.2
42.5416,-113.7661,1266.1,38.5
40.89174,-74.39635,85.3,37.7
44.8428,-117.8086,1024.4,40.5
35.2295,-101.7042,1098.5,54.6
43.27,-115.35,1740.4,35.3
42.5522,-124.0578,75.3,53
35.0419,-106.6155,1618.5,46
39.2728,-79.3684,735.2,34.3
41.83,-115.45,2450.6,38.1
37.7978,-106.7792,3139.4,32.9
46.1569,-123.8825,2.7,52
41.2694,-123.1875,1815.4,46
43.7727,-111.0338,1962.9,29.3
37.3577,-83.7705,268.2,43.5
32.6263,-116.4699,801.6,63
37.5167,-112.5556,2468.9,37.7
44.7741,-107.5216,2456.7,32.4
42.0416,-93.8905,315.5,27.9
38.9792,-112.2394,1975.1,41.6
39.3444,-91.171,270.4,34.5
37.0203,-106.2006,2540.2,34.6
35.7192,-78.7878,118.9,51.5
34.5975,-113.1745,1199.4,55
41.0975,-123.6358,1088.1,49.1
40.891,-111.8504,1508.8,35.9
41.1204,-90.1641,233.2,30.5
33.69,-109.22,2435.4,47.6
32.66361,-97.09389,192,56.7
35.1428,-93.895,104.5,49.7
37.6128,-114.5265,1334.7,46.5
37.8044,-114.4069,1472.2,46.1
37.4389,-105.8613,2296.1,26.2
39.82333,-93.57917,234.4,35.1
45.2117,-123.7719,682.8,49
37.7086,-113.0944,1702.6,41
33.0867,-109.9506,1005.8,58.1
42.13987,-87.78537,192,30.3
40.5583,-116.7583,1463,44.4
44.6825,-91.1357,292.6,21
28.25,-96.75,0,64.2
39.50932,-78.29739,292,39.4
47.2667,-98.8667,463.3,16.5
34.2553,-87.1814,249.3,50.9
41.4864,-79.1025,539.5,32.1
44.33,-122.09,1438.7,44.3
36.32,-115.7,2736.8,40.7
39.7469,-94.253,307.8,33.8
40.0354,-105.5409,2995.6,29
44.63,-115.79,2005.6,32.3
44.5228,-114.215,1545.9,32.5
35.695,-101.395,930.9,55.1
43.89,-107.06,2499.4,29.7
36.23,-121.4917,298.7,62.5
27.6606,-97.3983,4.9,64.1
31.938,-108.7688,1371.9,56
32.3698,-112.8599,533.7,66.3
37.8133,-100.3456,823.9,41.9
44.68,-107.58,2849.9,29
45.4136,-97.9063,448.1,18.7
31.4106,-90.8467,136.2,58.8
39.79957,-101.04213,881.8,42.4
44.5316,-86.1311,235.6,24.7
36.975,-91.0181,304.8,43
37.33,-105.07,3048,37.1
45.78861,-97.74881,413,15.6
40.3803,-76.0274,106.7,38.1
43.9792,-103.425,1424.6,40.3
34.2183,-81.073,96,55.6
43.7,-109.67,2667,36.4
40.61,-111.1,2523.7,34.3
33.555,-116.673,1194.8,55.3
44.67,-117.9336,1280.2,38.8
43.5233,-121.8133,1487.4,43.5
44.9667,-113.2167,1935.5,33.1
40.084,-88.2404,219.8,31.2
39.6514,-122.7236,1310.6,48.2
31.73831,-98.94545,424.9,57.5
35.4467,-83.4623,605,47.6
