LATITUDE,LONGITUDE,ELEVATION,TMAX
34.1369,-117.7069,501.4,63.4
37.70639,-112.14556,2312.2,34.6
33.6186,-114.7142,120.4,65.9
44.1678,-111.7792,1749.6,30.2
35.26,-112.06,2164.1,45.2
33.3947,-110.7933,1115.6,53.7
37.5531,-121.8439,374.9,57.5
44.72,-110.51,2398.8,27.5
33.8767,-117.3089,524.3,65.4
34.2083,-112.3333,1798.3,51.8
46.79,-110.68,1966,35.4
47.0091,-123.4008,21.3,51.2
46.2733,-117.495,1371.6,41.3
47.04,-121.94,1271,43.2
41.24,-120.79,1886.7,41.6
41.2468,-109.5966,1853.2,28.4
35.1792,-120.3919,319.4,65
44.0707,-111.4565,1588.6,28.7
47.9167,-123.1172,914.4,45.6
42.5872,-111.7275,1691.6,31
48.7177,-122.5113,4.6,49
48.5397,-121.7422,59.4,44.1
48.3556,-113.1139,1627.6,37
42.5503,-114.8661,1165.9,37.8
36.3158,-119.637,72.2,59.6
37.8331,-120.5,310.9,58.2
37.6542,-122.115,13.1,61.9
37.9833,-121.7525,18.3,58.9
33.62667,-116.15944,-36,70.7
35.1441,-111.6663,2134.5,43.1
47.07,-121.59,685.8,45
47.0378,-117.9472,503.8,39.6
45.8326,-109.9511,1249.7,41.4
44.96,-111.29,2743.2,27.9
49.05,-112.8167,1310,36.3
42.32,-113.62,2432.3,35.8
40.28,-115.53,2590.8,34.4
47.534,-116.1221,724.5,39.5
46.8814,-119.3242,260.6,40.7
49.2167,-123.8167,5,45.8
42.92815,-110.12729,2237.5,25.6
48.69,-121.91,926.6,42.3
42.9764,-121.4219,1659.6,43.8
48.3847,-114.0575,983,33.9
41.41,-111.54,2545.1,31.8
45.19,-119.25,1758.7,36.6
48.5405,-121.446,124.1,46.5
46.5631,-112.4342,1548.4,32.3
44.8142,-117.7289,1202.4,36.4
42.08,-114.4847,1737.4,37.5
45.33,-112.9128,2262.2,34.9
40.94,-115.1,2407.9,39.3
42.4261,-112.1253,1482.9,30.3
46.9692,-120.54,451.1,39.2
38.3208,-123.0747,19.2,56.7
39.1254,-119.7679,1451.2,46.5
32.7039,-109.9139,2902,43.5
31.8805,-110.2403,1124.7,63.2
40.8602,-115.7426,1595.6,36.2
44.9406,-122.4003,609.6,46.4
45.5,-110.08,1930.9,39
33.6472,-117.4111,926,59.9
44.4139,-122.6728,167.6,49.9
32.81667,-115.68333,-12.8,69.5
41.78028,-124.23667,17.1,56.7
40.97806,-124.10861,61,58.6
34.1847,-118.7172,502.9,61.4
34.4458,-118.2,792.5,58.3
35.27,-111.74,2240.3,46.3
43.7306,-111.1125,1865.4,35.7
34.8083,-119.0125,1493.5,51.1
45.1139,-118.4039,1578.9,41.8
42.9536,-112.8253,1342.6,30.2
35.2302,-111.8221,2179.9,43.6
48.19,-118.46,1338.1,33.2
47.2336,-123.9897,42.7,48.5
34.3317,-118.0303,1661.2,53
33.405,-118.41583,488.3,59.8
49.0167,-118.2333,510,33.8
37.5581,-115.2236,1188.7,51.3
36.9139,-113.9423,588.6,60.1
47.9967,-119.6482,254.2,36.6
34.6344,-117.5503,877.8,57.8
48.89,-116.76,1536.2,31
41.5239,-112.0436,1289.3,35.1
40.4808,-120.1139,1339.6,45.8
34.2103,-116.6339,1828.8,49
45.43,-121.86,1112.5,40.4
38.92,-119.92,2615.8,40.7
47.0091,-111.6741,1529.2,35.4
40.5819,-119.79,851.6,46.5
46.093,-115.5355,475.5,36.4
39.3375,-110.6,1865.4,36.4
48.8,-113.86,1920.2,29.5
44.1308,-122.2419,384,52.8
41.9829,-114.6586,1595,36
32.7397,-114.8839,66.1,69.6
48.86,-121.44,1606.3,36.8
44.4185,-123.3257,95.1,48.3
43.41269,-110.16331,2496.3,28.3
46.41,-113.43,2197.6,35.7
43.8333,-118.95,1563.6,40.2
35.1611,-111.7311,2171.7,44.9
48.9333,-123.75,75,45.6
44.0397,-118.4164,1969,33.8
47.28,-120.49,1642.9,39.3
47.0036,-114.4781,932.7,33.4
42.5978,-123.1033,975.4,48
44.3256,-117.1678,1088.1,35.8
44.1667,-118.4667,1676.4,38.1
39.1875,-122.0269,15.2,56.2
33.12806,-117.27944,100,66.4
33.97528,-117.63611,198.1,67.8
46.18,-113.85,1761.7,32.6
47.7669,-114.2347,1097.3,32.7
33.6667,-116.7667,1499.6,54.9
47.1292,-115.875,1432.6,35.9
42.3653,-112.7056,1950.7,32.8
40.3033,-121.2422,1380.7,43.8
43.1744,-115.1517,1691.6,35.7
39.6013,-116.0055,1809.3,38.1
41.87543,-115.43082,1883.7,40.4
36.2356,-121.785,137.2,61.8
46.6217,-116.2183,518.2,39.8
36.0931,-118.2603,2499.4,46.9
48.4982,-109.8014,815.3,36.2
37.9442,-122.1178,442,55
34.31,-110.75,2328.7,43.7
47.8305,-110.6609,807.4,40.2
38.69,-119.99,2546,38.2
37.5,-113.94,2061.4,37.4
48.72,-120.66,1978.2,31.3
41.75,-117.53,2107.7,39.8
32.6261,-116.4681,805,61.7
43.7178,-123.0578,253.3,49.2
35.1889,-120.0833,1149.1,53.7
33.87194,-117.97889,29.3,68
41.295,-120.3133,1889.8,45.1
40.97,-111.81,2066.2,33.4
33.92278,-118.33417,19.2,66.2
39.6097,-110.2944,3109,30.3
43.9247,-119.5944,1621.5,41.5
33.8161,-111.9019,771.1,64.5
47.5688,-122.6827,33.5,49.1
37.4,-113.46,2536.5,38.4
47.9262,-112.2919,1231.1,38.4
39.1439,-120.5089,2164.1,42.8
37.9833,-122.0692,12.2,59.5
39.8811,-110.2658,2438.4,33.2
35.94611,-112.15472,2013.5,42.8
43.76,-115.24,2310.4,34.5
44.8358,-123.4525,210.3,47.6
38.5777,-112.3347,1804.4,39.4
38.5777,-110.7077,1521,38.2
49.2,-113.2833,1136,41.8
43.39,-110.13,2667,29.2
44.3158,-121.6056,999.7,44
41.67,-117.57,2603.9,34.7
34.4311,-118.6828,389.5,63.2
38.2719,-119.2892,2026.9,47
38.61,-119.92,2455.8,38.1
41.55,-116.01,2209.8,38.3
34.3194,-117.0131,2091.2,47.3
46.44,-112.19,1975.1,37.4
43.8397,-110.3708,2511.6,27.6
48.88,-121.26,1106.4,34.1
48.5646,-110.3027,859.5,36.4
43.46285,-113.56012,1802.6,27
40.88,-117.59,2010.5,42.2
33.2372,-116.7614,823,59.7
33.6617,-115.7206,520,61.6
44.35,-120.13,1431,41.4
37.2506,-114.7075,1399,50.4
45.88,-113.33,1959.9,29.6
34.46,-111.41,2225,44.9
40.58,-110.59,3230.9,31.7
31.8352,-110.3552,1429.5,58.8
43.3428,-114.7899,1543.8,28.3
49.25,-121.7667,19,46.5
40.5981,-121.0831,1722.1,43.7
43.595,-118.9564,1261.9,38.6
48.7833,-125.2167,26,49.7
47.02,-121.46,1767.8,39.5
47.3705,-123.16,6.4,46.7
42.36,-111.56,2252.5,30.4
36.9306,-112.1997,1950.7,44
41.66,-115.32,2194.6,35.2
40.96554,-111.4336,1667.3,31.9
34.305,-112.165,1149.4,58
48.9946,-117.3544,559.9,34.7
46.1,-115.5347,463.3,39.5
34.75,-111.41,2325.6,45.1
42.96,-110.61,2636.5,27.9
38.85,-119.94,2370.1,43.6
38.9875,-123.3486,196.3,59.4
43.13,-110.2,2417.1,29.1
41.4917,-119.1167,1493.5,43.2
44.6867,-112.5417,2071.1,28.8
37.1317,-122.17,801.6,54.6
41.53,-116.01,2566.4,33.1
32.64,-117.0858,17.1,65.4
34.4206,-117.2661,931.2,59.4
42.8966,-122.1327,1973.6,35.5
37.9613,-119.783,1179.6,49.2
41.3436,-111.8496,1583.4,32.8
43.514,-112.0126,1445.4,34.1
43.3455,-111.7847,1776.4,31.9
31.893,-110.9977,883.9,65
48.93,-121.2,1777,37.3
36.2147,-112.0619,2438.4,33.9
41.9797,-122.3378,823.9,52.4
42.65,-110.81,2337.8,31.7
44.2939,-119.0333,1813.3,35.8
44.39,-122.17,1072.9,45.3
36.9969,-119.7072,125,60
41.15,-111.9167,1554.5,39.1
38.0333,-113.5167,1750.8,42.7
48.31,-114.84,1534.7,34.2
44.9661,-121.4908,804.7,40.9
44.95,-116.14,1630.7,31.7
40.5983,-113.0217,1533.1,37.5
42.53,-122.18,1810.5,41.4
39.493,-117.0675,2066.5,45.7
33.3503,-110.6519,1112.5,54.4
44.3958,-112.1081,2019.3,30.5
44.61,-116.98,1883.7,33.7
37.9033,-111.6914,2438.4,39.9
44.8666,-111.3391,1977.8,22.8
37.64051,-112.1701,2412.5,35.6
43.19,-122.14,1609.3,45.5
39.9278,-122.6569,1131.7,49.3
40.89,-110.83,2675.2,37.3
45.15,-118.22,1569.7,36.3
39.3583,-111.5991,1675.8,33.7
39.16,-114.61,3225.7,29.1
46.3075,-122.9047,64.9,48.4
45.9167,-122.1667,762,44.5
47.4172,-122.2433,9.1,50.3
39.61,-111.3,2943.5,29.4
48.0181,-120.2342,1097.3,35.7
37.6658,-113.08372,1856.2,40.3
37.6094,-112.8377,3161.4,32.8
39.517,-115.9621,1959.9,35.3
38.2486,-111.9608,1953.8,36.5
36.2047,-112.0622,2479.2,40.6
44.2867,-122.0388,655.9,39.1
44.52,-122.09,1124.7,46.5
38.8695,-117.9231,1430.7,50
37.7686,-111.5977,1770.9,41.9
42.22,-122.37,1396,42.7
45.6354,-121.9523,18.9,44.7
37.53,-110.7203,1164.9,44.4
39.2872,-112.6519,1399,37.6
37.6563,-112.9919,1966,40.7
